channel,band,n_day,n_night,t_stat,p_value,power,mean_day,mean_night,HYP
58,Alpha,24,31,-2.8159109658814425,0.007082939080602276,0.7276670483556308,9.657628169777961e-05,0.00015297811770272727,True
36,Beta,24,31,2.501501610421122,0.01762344941545348,0.754786218816503,7.961398481975351e-05,5.0237856728162825e-05,False
60,Beta,24,31,2.469368033463506,0.020475422830647388,0.7734434318672337,9.212765893754347e-05,4.945896931316989e-05,False
12,Alpha,24,31,-2.376652711640735,0.021167804759791298,0.6046451274219896,0.00010290780697149933,0.00015535289385237367,False
58,Tetta,24,31,-2.3472795582840886,0.02427555308089121,0.5452432380157252,0.00011554679406601338,0.00016739305880789952,False
49,Alpha,24,31,-2.3060574181643427,0.025698639737584385,0.5519726424803004,0.0001260912829883283,0.00018144723793990392,False
45,Alpha,24,31,-2.242780290714204,0.02961689376599378,0.5346226327010218,0.0001480784269504413,0.00021956759824393014,False
46,Alpha,24,31,-2.221100311938171,0.031008100566300538,0.5314375647549278,0.0001284889776319709,0.00018950101578685415,False
9,Beta,24,31,2.235823166518359,0.034279522429997496,0.6900921908199331,0.00018053089694221224,7.330516208960379e-05,False
61,Alpha,24,31,-2.1842301763409213,0.03477718262976352,0.4950420939604847,0.00010395615399738237,0.0001613884368040825,False
12,Tetta,24,31,-2.1324384474532474,0.03910663159842405,0.4760428310744904,9.47977905896474e-05,0.00014860716333362325,False
10,Beta,24,31,2.0806551078078397,0.04693537098904569,0.6185550933825391,6.973124814645442e-05,3.963192300395825e-05,False
61,Tetta,24,31,-2.0095440053318963,0.052371046246264485,0.419898115230235,0.0001312751402281914,0.00020065983932615,False
20,Alpha,24,31,-1.9761754167992387,0.05340477039963517,0.45795642979258644,0.00013173839422081377,0.0001838545705027859,False
18,Alpha,24,31,-1.9518011233024888,0.05632119113876944,0.44806534341861465,0.00011202637820043397,0.0001516994184422914,False
28,Beta,24,31,1.9758329121661558,0.056802505190649395,0.5534090141649591,7.755440831353803e-05,5.151412326536471e-05,False
33,Beta,24,31,1.9595326935001494,0.059127085586682594,0.5518039340095927,5.016044220983459e-05,3.452843965547398e-05,False
17,Beta,24,31,1.9518768483301254,0.059334095402446066,0.537917241182938,9.752905575473361e-05,6.057666291664605e-05,False
21,Beta,24,31,1.9452844649781158,0.059348261015887076,0.5224986191720752,4.1541804458695954e-05,2.8872124316949483e-05,False
17,Delta,24,31,1.9137832762802347,0.061646115404417785,0.4745703496442066,0.00023615524896854404,0.0001914032653746512,False
39,Beta,24,31,1.9103986107939774,0.06524643094931432,0.5288955815792798,6.171641107941801e-05,4.110389257758486e-05,False
29,Beta,24,31,1.8945994513902993,0.06780435961704646,0.5278037281238277,7.542590800998964e-05,5.141384090701242e-05,False
47,Alpha,24,31,-1.7947775605207652,0.07843969131490439,0.3923123202337375,0.00017383054538819766,0.00024452699197125444,False
61,Delta,24,31,-1.7937286443437193,0.07996291293547433,0.3630938905992494,0.0001710650508096326,0.0002182011406932466,False
57,Alpha,24,31,-1.7594283900531125,0.0842925278532446,0.3824635788230519,9.308518747482454e-05,0.00011888316557475984,False
8,Alpha,24,31,-1.7530678443679213,0.08776788969740998,0.34039292048021264,0.00012895234458768076,0.00020492678944529567,False
30,Alpha,24,31,-1.7408509596887,0.09021687747447794,0.3341581666721539,0.00015784229555435743,0.00031488742112099216,False
3,Alpha,24,31,-1.723154952021817,0.09110189486302712,0.3544880164330329,0.00012296413824514326,0.00016613912687448644,False
22,Tetta,24,31,-1.7325095289702073,0.09127018268855595,0.33487115969474723,6.905028897943714e-05,9.502786560606317e-05,False
48,Alpha,24,31,-1.692369384983331,0.09647705951461535,0.3573228235295462,0.0001969928616362849,0.0002625119509776965,False
24,Beta,24,31,1.7113653272683749,0.10017870617901077,0.4792818179569556,0.00022384025980881617,7.776473927978585e-05,False
