channel,band,n_A,n_B,mean_A,mean_B,diff_A_minus_B,t_stat,p_value
28,Beta,15,17,0.04412470690551259,0.1031124082417423,-0.05898770133622971,-3.937208487926377,0.0009913012988180235
48,Beta,15,17,0.05607432261375444,0.08592259636832303,-0.02984827375456859,-3.266901880193209,0.002817861024365742
34,Beta,15,17,0.036052434725893874,0.0722666941270107,-0.036214259401116826,-3.4534254578429344,0.002835771473757998
42,Tetta,15,17,0.09585167857271339,0.15189022877115327,-0.05603855019843988,-3.167891883797411,0.003708870696532545
22,Tetta,15,17,0.07378844099917582,0.11771493039357395,-0.043926489394398124,-2.9808540940072534,0.006521135793554431
47,Tetta,15,17,0.1334077761109386,0.22816276871690563,-0.09475499260596704,-2.959341434268898,0.006967942042283356
26,Tetta,15,17,0.09495559763458987,0.15215874015658842,-0.057203142521998554,-2.8627648010326725,0.007762118758708944
38,Beta,15,17,0.02119047281421011,0.029561529186468163,-0.008371056372258052,-2.854675246017259,0.007901815044418354
27,Beta,15,17,0.02748974051829132,0.03699876908969437,-0.009509028571403049,-2.841720831583572,0.007991881404173576
6,Beta,15,17,0.03213666654413654,0.04862206580941709,-0.016485399265280545,-2.8211288442693605,0.00844119807761228
32,Beta,15,17,0.037329342023336466,0.1683220221316677,-0.13099268010833123,-2.9042828121378395,0.010275053228697265
26,Beta,15,17,0.03825100606070861,0.0637300393168478,-0.02547903325613919,-2.6717028626026296,0.012079535535460885
46,Tetta,15,17,0.12683272104532944,0.18512980571063628,-0.058297084665306836,-2.601957915518285,0.014782588120938883
28,Tetta,15,17,0.12621909533701245,0.17737711477158616,-0.05115801943457371,-2.547629392979317,0.016521323000909704
8,Tetta,15,17,0.14037459329480217,0.2379257847458458,-0.09755119145104363,-2.5623745847447665,0.01804819773735608
36,Tetta,15,17,0.14704559241968487,0.21530079859353246,-0.06825520617384759,-2.50546779453334,0.018179874819173766
21,Beta,15,17,0.03012331828386301,0.04371780491008812,-0.013594486626225113,-2.459178804310794,0.020052117825830003
37,Tetta,15,17,0.10494800285687521,0.1545406424124785,-0.04959263955560329,-2.4501235050654513,0.021718794748852608
34,Tetta,15,17,0.13807235845615942,0.20128460431925388,-0.06321224586309446,-2.4311846229753393,0.02181463856180466
45,Tetta,15,17,0.1310044708528689,0.18201806522509298,-0.05101359437222408,-2.4165922136714872,0.02241704239928793
12,Tetta,15,17,0.11411811508060922,0.16903412845037896,-0.05491601336976974,-2.3859735280720784,0.023901998028222127
44,Beta,15,17,0.05302937919687893,0.10285759828880388,-0.04982821909192495,-2.4423280064476542,0.024708850436392978
18,Tetta,15,17,0.09081426967704107,0.12993209290446017,-0.03911782322741911,-2.352508054058919,0.025897630411074797
47,Alpha,15,17,0.17987816171750193,0.3177705423995143,-0.13789238068201237,-2.3578925661672234,0.026288844879323103
23,Tetta,15,17,0.07765507334695448,0.10794688387140004,-0.03029181052444556,-2.3380723352919315,0.026710996061453832
6,Tetta,15,17,0.11957224350245226,0.178575363855402,-0.05900312035294973,-2.3356234124218873,0.026716333375426834
34,Alpha,15,17,0.10280588595048774,0.16971772501939067,-0.06691183906890293,-2.350717691911187,0.027566089498574635
62,Beta,15,17,0.05272881304697385,0.08831717674711756,-0.03558836370014371,-2.3503020958597145,0.027980727031293888
38,Tetta,15,17,0.0837897358373517,0.12458725992579754,-0.040797524088445836,-2.3164430289501285,0.02835193117773285
13,Tetta,15,17,0.1029009427047438,0.13728189002461627,-0.03438094731987247,-2.276121860272309,0.030455287636734257
42,Beta,15,17,0.03559287378180121,0.04981817407350914,-0.014225300291707932,-2.26900849726945,0.030651742025022945
27,Tetta,15,17,0.10952545754493227,0.16277144720950046,-0.053245989664568186,-2.2371219233042816,0.035420317809440736
11,Tetta,15,17,0.09083251197718911,0.14463802835061437,-0.05380551637342526,-2.210286918711241,0.03713205456584213
47,Beta,15,17,0.04944466683156197,0.0977126661536782,-0.04826799932211623,-2.2433682838506064,0.037721331877360605
22,Beta,15,17,0.023171072887138478,0.03134505473421651,-0.008173981847078033,-2.175016625909955,0.03867165984215143
39,Tetta,15,17,0.08242406343656873,0.1139975717546893,-0.03157350831812057,-2.15880961568179,0.03947046287795054
60,Beta,15,17,0.04503215029687872,0.12803413878855,-0.08300198849167127,-2.2350003713254334,0.03965307405933789
8,Delta,15,17,0.2654971567115614,0.40866812368651395,-0.14317096697495257,-2.1491193822172803,0.04109019425309575
52,Tetta,15,17,0.074083037358073,0.10839148859182993,-0.03430845123375692,-2.15039457861912,0.041550837851098144
7,Tetta,15,17,0.07173615799300255,0.09984086125995181,-0.028104703266949263,-2.1318199169123275,0.04165865261372115
37,Beta,15,17,0.04709023177061999,0.08088562416476237,-0.033795392394142386,-2.134819330952998,0.04271018196505717
5,Tetta,15,17,0.1278339214386448,0.17610862131128793,-0.04827469987264313,-2.0869279196163193,0.0457078074520357
32,Alpha,15,17,0.09673836495697734,0.15525326711394372,-0.05851490215696638,-2.0933045933910654,0.04593034053380168
49,Beta,15,17,0.03571341384852689,0.049051788006843976,-0.013338374158317089,-2.0739912414886255,0.046759735321131174
31,Beta,15,17,0.14009539585797087,0.31416304388894845,-0.17406764803097757,-2.0706487687986366,0.048573552209961936
0,Beta,15,17,0.06848416393770586,0.38643876666657073,-0.3179546027288649,-2.114985009343398,0.050148402175254014
33,Beta,15,17,0.03559816854059814,0.06734599387377542,-0.03174782533317728,-2.0574601988698844,0.05468629726746866
33,Alpha,15,17,0.10157864392616801,0.15441150401382386,-0.05283286008765585,-2.0127920233132555,0.05506026039654529
59,Beta,15,17,0.09392037717182014,0.207550278030002,-0.11362990085818186,-2.037575869458499,0.05522678114452118
48,Tetta,15,17,0.1527378586904397,0.20542202062424827,-0.052684161933808565,-1.9948031745551225,0.055265429407476294
18,Beta,15,17,0.03251194308940617,0.043554514406525455,-0.011042571317119283,-2.0001219563256676,0.055511074945029805
8,Beta,15,17,0.08946579335080015,0.17380133194259317,-0.08433553859179302,-2.0237830693603476,0.05628974186764819
60,Alpha,15,17,0.1013996799609491,0.15568498523086727,-0.05428530526991816,-1.9885319819375318,0.057366225137689277
2,Beta,15,17,0.05920425119055879,0.14443272419002545,-0.08522847299946666,-1.976015536110409,0.06018476695111916
61,Beta,15,17,0.051490363901451466,0.08182650452860597,-0.030336140627154506,-1.943736639383871,0.06151683073699907
61,Tetta,15,17,0.15197174696340449,0.22044942788884087,-0.06847768092543638,-1.952649582597054,0.06411347608674223
42,Alpha,15,17,0.11719989728419078,0.18724335241718457,-0.07004345513299379,-1.92403283278038,0.06694973638097432
28,Alpha,15,17,0.10458826395786468,0.15320583981271385,-0.048617575854849174,-1.8862346880142538,0.0705708009495097
6,Alpha,15,17,0.0920510759015405,0.14446256700537952,-0.05241149110383901,-1.8889488835325141,0.07199023469307197
43,Tetta,15,17,0.11283492975764804,0.14726239509087483,-0.034427465333226784,-1.8355514038753356,0.07637891612632842
47,Delta,15,17,0.25771790197089545,0.3844048071976135,-0.12668690522671805,-1.817636325601317,0.07912061927063106
23,Beta,15,17,0.03461213616935152,0.04828396544554362,-0.0136718292761921,-1.8108837944106733,0.0803263680628368
10,Tetta,15,17,0.08926868863285535,0.1181905328789178,-0.02892184424606245,-1.8106262252158245,0.08116350782743854
61,Alpha,15,17,0.12033640717466672,0.18027411402837068,-0.05993770685370396,-1.8069125357109646,0.08222082222354855
